A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,2,1,1,2,1,2,2,1,2,2,2,2
1,1,2,1,1,2,1,2,1,2,2,1,2,2,2
1,1,2,2,1,2,2,2,2,1,2,2,1,1,1
1,2,1,1,2,1,1,2,2,1,2,2,1,2,2
1,2,1,2,2,1,2,2,1,2,2,1,2,1,1
1,2,2,1,2,2,1,1,2,2,1,2,2,1,1
1,2,2,2,2,2,2,1,1,1,1,1,1,2,2
2,1,1,1,2,2,2,1,1,1,2,2,2,1,2
2,1,1,2,2,2,1,1,2,2,2,1,1,2,1
2,1,2,1,2,1,2,2,1,2,1,2,1,2,1
2,1,2,2,2,1,1,2,2,1,1,1,2,1,2
2,2,1,1,1,2,2,2,2,1,1,1,2,2,1
2,2,1,2,1,2,1,2,1,2,1,2,1,1,2
2,2,2,1,1,1,2,1,2,2,2,1,1,1,2
2,2,2,2,1,1,1,1,1,1,2,2,2,2,1
